<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.02.22	00:00:00	1.21123	1.21693	1.20913	1.21580	67486	0	50
2021.02.23	00:00:00	1.21534	1.21798	1.21354	1.21494	66615	0	50
2021.02.24	00:00:00	1.21493	1.21746	1.21092	1.21683	80915	0	50
2021.02.25	00:00:00	1.21628	1.22431	1.21560	1.21772	102864	0	50
2021.02.26	00:00:00	1.21702	1.21833	1.20622	1.20724	117396	0	50
2021.03.01	00:00:00	1.20688	1.21011	1.20277	1.20484	77051	0	50
2021.03.02	00:00:00	1.20455	1.20944	1.19919	1.20905	78284	0	50
2021.03.03	00:00:00	1.20901	1.21130	1.20429	1.20623	75598	0	50
2021.03.04	00:00:00	1.20603	1.20662	1.19617	1.19721	92297	0	50
2021.03.05	00:00:00	1.19661	1.19769	1.18933	1.19120	98618	0	50
2021.03.08	00:00:00	1.19168	1.19323	1.18441	1.18463	81821	0	50
2021.03.09	00:00:00	1.18448	1.19158	1.18356	1.19007	72671	0	50
2021.03.10	00:00:00	1.18985	1.19297	1.18688	1.19290	63893	0	50
2021.03.11	00:00:00	1.19278	1.19899	1.19158	1.19851	64320	0	50
2021.03.12	00:00:00	1.19777	1.19884	1.19100	1.19520	68063	0	50
2021.03.15	00:00:00	1.19433	1.19674	1.19112	1.19297	55161	0	50
2021.03.16	00:00:00	1.19268	1.19518	1.18825	1.19025	55257	0	50
2021.03.17	00:00:00	1.19023	1.19854	1.18863	1.19797	59164	0	50
2021.03.18	00:00:00	1.19738	1.19889	1.19061	1.19157	101666	0	50
2021.03.19	00:00:00	1.19101	1.19372	1.18739	1.19045	116844	0	50
2021.03.22	00:00:00	1.18713	1.19468	1.18708	1.19326	95595	0	50
2021.03.23	00:00:00	1.19318	1.19407	1.18421	1.18502	107137	0	50
2021.03.24	00:00:00	1.18490	1.18527	1.18097	1.18117	116039	0	50
2021.03.25	00:00:00	1.18126	1.18277	1.17618	1.17640	124874	0	50
2021.03.26	00:00:00	1.17640	1.18050	1.17632	1.17936	94551	0	50
2021.03.29	00:00:00	1.17908	1.17939	1.17606	1.17652	96083	0	50
2021.03.30	00:00:00	1.17640	1.17738	1.17110	1.17158	102698	0	50
2021.03.31	00:00:00	1.17166	1.17599	1.17041	1.17300	109252	0	50
2021.04.01	00:00:00	1.17303	1.17799	1.17126	1.17776	106996	0	50
2021.04.02	00:00:00	1.17761	1.17866	1.17490	1.17607	52017	0	50
2021.04.05	00:00:00	1.17548	1.18196	1.17377	1.18123	66322	0	50
2021.04.06	00:00:00	1.18119	1.18777	1.17952	1.18762	100423	0	50
2021.04.07	00:00:00	1.18748	1.19146	1.18609	1.18717	118198	0	50
2021.04.08	00:00:00	1.18636	1.19274	1.18607	1.19162	104183	0	50
2021.04.09	00:00:00	1.19127	1.19201	1.18671	1.19008	100512	0	50
2021.04.12	00:00:00	1.18897	1.19191	1.18711	1.19114	96380	0	50
2021.04.13	00:00:00	1.19099	1.19558	1.18773	1.19487	119777	0	50
2021.04.14	00:00:00	1.19484	1.19874	1.19451	1.19791	104850	0	50
2021.04.15	00:00:00	1.19798	1.19933	1.19562	1.19662	89545	0	50
2021.04.16	00:00:00	1.19619	1.19948	1.19505	1.19812	63404	0	50
2021.04.19	00:00:00	1.19717	1.20482	1.19426	1.20368	85399	0	50
2021.04.20	00:00:00	1.20373	1.20799	1.20225	1.20366	87570	0	50
